"scenario","model","rep","pfpr_2_10","clin_0_5","sev_0_5","clin_all","sev_all","eir_realised"
"ts_nets","IBM",17,0.216173199520132,0.514420851057355,25.3878273193019,0.394556593669495,7.49392048277807,4.61102090670685
"ts_smc","IBM",17,0.304061961994249,0.751134740796349,27.2286343538676,0.627680348286734,7.8892272475468,16.6377414858594
"ts_treat","IBM",17,0.295460697207277,1.24857844287597,37.0228059453108,0.658667967622029,9.06285232930479,16.6202245879371
"ts_all","IBM",17,0.0807855004370422,0.183973002383321,12.7928246690389,0.271861535065376,5.44327878885068,3.15621343031737
"ts_none","IBM",18,0.426472909957425,1.4346172689929,44.8990613661228,0.694099148236673,11.3060763186118,18.1390140585748
"ts_nets","IBM",18,0.21437501318345,0.55504842959918,24.8893793740485,0.411633450760348,8.42603132774811,4.78432233047128
"ts_smc","IBM",18,0.303872575662496,0.7206767746002,29.5436619330217,0.612688056142271,8.52353851791745,16.246299921706
"ts_treat","IBM",18,0.298328459884013,1.28749872546603,36.7452984216429,0.670738465355861,9.22449879840277,16.7381906759519
"ts_all","IBM",18,0.0834134911669667,0.19256888965855,9.76012875984608,0.286656510675506,4.99728794789405,3.19903386010752
"ts_none","IBM",19,0.422711924090272,1.44792983133825,34.3285650105597,0.705421400169949,8.85971691935616,18.4585966091161
"ts_nets","IBM",19,0.22667046803986,0.575790835975229,21.3196938437913,0.42789246218404,6.75513547745774,4.91305892036547
"ts_smc","IBM",19,0.297734238192433,0.748588110207458,27.4179404115331,0.615750617116616,8.03255267129912,15.991325352231
"ts_treat","IBM",19,0.303091804659905,1.26605552649976,38.7256481642903,0.664000372730526,9.57838266073797,16.1963306733697
"ts_all","IBM",19,0.0856206762881679,0.194131430136162,10.9198929451591,0.289433967859581,5.74834012822165,3.24923751568851
"ts_none","IBM",20,0.431956040865484,1.45057971198732,40.6405522661349,0.699142979370444,9.6141404029208,18.743821626179
"ts_nets","IBM",20,0.223205033967661,0.581452054367991,27.0299951317397,0.419749033726902,8.06627977375743,4.66695335330168
"ts_smc","IBM",20,0.308248733130844,0.74031985686974,28.4988946221303,0.609166471891534,8.35992347337918,16.2272618937013
"ts_treat","IBM",20,0.303822671189346,1.2986316054553,35.7277147543755,0.675857367063609,9.26383757000179,16.8452024458708
"ts_all","IBM",20,0.0841055285621161,0.191810845397176,12.1109236854872,0.292033924456349,4.83867047770271,3.25727467879915
"nets","IBM",1,0.49507611785539,1.4641165014679,42.9132134866753,0.738698121781,11.1954429927786,15.7250382399578
"irs","IBM",1,0.404033424619058,1.67542364634261,58.1526031094526,0.870242423546435,15.52567209086,15.1528094329882
"pev","IBM",1,0.52378283850874,1.22542280476685,29.0664603763282,0.618285837766067,7.20378556981003,20.0258946191892
"treatment","IBM",1,0.391859076126449,1.44415317815063,38.0858480782458,0.673210855631913,9.43361344599648,19.0482121023214
"nets","IBM",2,0.497673677410001,1.50042730718974,47.458006574288,0.737062217261074,11.8539779804619,15.6238144391549
"irs","IBM",2,0.411982162456247,1.61882052241132,56.417929056792,0.849811784504634,15.5023708616102,14.9436732862006
"pev","IBM",2,0.523322702644254,1.2293924659902,36.419281336189,0.61792810182604,9.4378626270854,19.766941821735
"treatment","IBM",2,0.402828531702835,1.51384153929935,37.6980502686194,0.680946004361714,9.28715131502682,19.3102500407384
"nets","IBM",3,0.487681246963688,1.46893180108411,39.2960595838748,0.73440143920339,9.77097745099609,15.6107058380476
"irs","IBM",3,0.388733646987306,1.58280730049335,53.2398819256854,0.829826613256115,14.5442187225217,14.7690957514124
"pev","IBM",3,0.517711491151998,1.24836496690977,30.7570420224147,0.641525974345641,7.79194942925443,20.156535003692
"treatment","IBM",3,0.384014504027858,1.48143825772046,39.7051089438638,0.666969238527484,9.34610858967894,18.7242484867917
"nets","IBM",4,0.493265941460362,1.4577289848343,44.1639427757959,0.727444849128515,11.3422067997711,15.644954956096
"irs","IBM",4,0.405284099820601,1.63487179531053,57.925454690116,0.840285306783416,15.2718120465929,15.0046908030105
"pev","IBM",4,0.514883221828495,1.22197341332988,35.5161710436022,0.622938167710138,8.78936937584448,19.7981370628575
"treatment","IBM",4,0.393852661234984,1.41962187247333,36.383975544652,0.644116423680797,8.58732446944506,19.1253766564158
"nets","IBM",5,0.503738729440213,1.53102266829218,54.2624972071409,0.770624478836973,13.3717810776089,15.9829154285298
"irs","IBM",5,0.40023840154214,1.61855751086373,57.9744173640113,0.853705821331565,15.1428193746769,14.7139168016335
"pev","IBM",5,0.529485819316665,1.25253782159246,32.8806542959747,0.639004308600398,8.53125331850202,19.9646498964582
"treatment","IBM",5,0.393448974459464,1.46410869975971,39.1261241383222,0.666828121394936,9.90954087005723,18.8312340858224
"nets","IBM",6,0.487887056567955,1.47249615585316,41.7088302627228,0.734612035188052,10.6110254202781,15.6193053265668
"irs","IBM",6,0.400123551721638,1.67143155090037,59.1750938429956,0.877137528392041,16.455353915238,14.8196338340972
"pev","IBM",6,0.520503500911643,1.23797860407566,36.5634446380565,0.628443387389616,8.73211205222852,19.7028112235251
"treatment","IBM",6,0.396520433669127,1.51514518900721,44.2752855654834,0.664950008601373,10.3363582643193,18.6451802746448
"nets","IBM",7,0.501739354374548,1.54617251209744,49.0574755485553,0.759162233860366,12.686265446473,15.6678681128522
"irs","IBM",7,0.404725253524128,1.66562873660332,52.4430141136452,0.865749971231099,13.4193593928714,14.9923160494655
"pev","IBM",7,0.530343578259317,1.2401991847546,35.694942978869,0.619117844005407,8.76252683072562,19.8800443815286
"treatment","IBM",7,0.404760090659361,1.49942173836969,40.0323485103895,0.676230468640293,9.61242117450914,19.0896203206437
"nets","IBM",8,0.496155759605639,1.50800952507733,50.1870684551439,0.743545610066582,12.3421192830177,15.9381616885304
"irs","IBM",8,0.400395495448651,1.62243341476747,52.3165897912044,0.849734881683742,14.4938393369675,15.0863902792793
"pev","IBM",8,0.516986836995933,1.21286982436311,30.3576955116574,0.611309935946156,7.48036192471426,19.9618708310606
"treatment","IBM",8,0.39923679063831,1.45398305334506,35.8036904699589,0.65317626034794,8.48716521329304,19.0095157870631
"nets","IBM",9,0.495468651975676,1.53874594048004,42.7560420687068,0.76046959591885,10.6389894481785,15.7697693825712
"irs","IBM",9,0.403143214640619,1.60284660791405,57.5436512034172,0.854803138019516,14.8375348336721,14.9210467076484
"pev","IBM",9,0.517384387228704,1.23025507726585,36.8916124864595,0.624856970670065,9.23252025221728,19.7999495171
"treatment","IBM",9,0.390800272877382,1.44194111275581,38.0051488284981,0.64514059100548,8.84580430172675,18.7749931946289
"nets","IBM",10,0.49022628237342,1.4897588490374,46.0362730310066,0.732020694013365,11.6486829690286,15.5041398898548
"irs","IBM",10,0.382977721363741,1.51711349278688,51.2304742747588,0.803381338341933,13.6331378627722,14.1858170289671
